epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784445434136360953,1,121765,37,2857,13801,17,8
1784445434186361390,0,124290,35,2917,13801,17,8
1784445434186361390,1,121765,37,2857,13801,17,8
1784445434236362078,0,124437,35,2917,13801,18,9
1784445434236362078,1,121765,37,2857,13801,17,8
1784445434286361258,0,124437,35,2917,13801,18,9
1784445434286361258,1,121765,37,2857,13801,17,8
1784445434336361382,0,124437,35,2917,13801,18,9
1784445434336361382,1,121765,37,2857,13801,17,8
1784445434386361864,0,124437,35,2917,13801,18,9
1784445434386361864,1,121765,37,2857,13801,17,8
1784445434436361810,0,124437,35,2917,13801,18,9
1784445434436361810,1,121765,37,2857,13801,17,8
1784445434486361835,0,124437,35,2917,13801,18,9
1784445434486361835,1,121765,37,2857,13801,17,8
1784445434536361269,0,124437,35,2917,13801,18,9
1784445434536361269,1,121765,37,2857,13801,17,8
1784445434586362212,0,124437,35,2917,13801,18,9
1784445434586362212,1,121765,37,2857,13801,17,8
1784445434636361817,0,124437,35,2917,13801,18,9
1784445434636361817,1,121787,37,2857,13801,17,9
1784445434686362320,0,124437,35,2917,13801,18,9
1784445434686362320,1,121787,37,2857,13801,17,9
1784445434736361164,0,124828,35,2917,13801,17,8
1784445434736361164,1,121787,37,2857,13801,17,9
1784445434786361246,0,124828,35,2917,13801,17,8
1784445434786361246,1,121787,37,2857,13801,17,9
1784445434836361519,0,124828,35,2917,13801,17,8
1784445434836361519,1,121787,37,2857,13801,17,9
1784445434886362219,0,124828,35,2917,13801,17,8
1784445434886362219,1,121787,37,2857,13801,17,9
1784445434936360499,0,124828,35,2917,13801,17,8
1784445434936360499,1,121787,37,2857,13801,17,9
1784445434986362215,0,124828,35,2917,13801,17,8
1784445434986362215,1,121787,37,2857,13801,17,9
1784445435036360195,0,124828,35,2917,13801,17,8
1784445435036360195,1,121787,37,2857,13801,17,9
1784445435086363480,0,124828,35,2917,13801,17,8
1784445435086363480,1,121787,37,2857,13801,17,9
1784445435136360284,0,124828,35,2917,13801,17,8
1784445435136360284,1,121450,37,2857,13801,17,8
1784445435186351687,0,124828,35,2917,13801,17,8
1784445435186351687,1,121450,37,2857,13801,17,8
1784445435236360724,0,124924,35,2917,13801,18,8
1784445435236360724,1,121450,37,2857,13801,17,8
1784445435286350512,0,124924,35,2917,13801,18,8
1784445435286350512,1,121450,37,2857,13801,17,8
1784445435336360079,0,124924,35,2917,13801,18,8
1784445435336360079,1,121450,37,2857,13801,17,8
1784445435386352932,0,124924,35,2917,13801,18,8
1784445435386352932,1,121450,37,2857,13801,17,8
1784445435436359865,0,124924,35,2917,13801,18,8
1784445435436359865,1,121450,37,2857,13801,17,8
1784445435486352851,0,124924,35,2917,13801,18,8
1784445435486352851,1,121450,37,2857,13801,17,8
1784445435536360003,0,124924,35,2917,13801,18,8
1784445435536360003,1,121450,37,2857,13801,17,8
1784445435586351743,0,124924,35,2917,13801,18,8
1784445435586351743,1,121450,37,2857,13801,17,8
1784445435636360044,0,124924,35,2917,13801,18,8
1784445435636360044,1,121012,37,2865,13801,17,9
1784445435686352318,0,124924,35,2917,13801,18,8
1784445435686352318,1,121012,37,2865,13801,17,9
1784445435736359892,0,125024,35,2917,13801,17,8
1784445435736359892,1,121012,37,2865,13801,17,9
1784445435786354517,0,125024,35,2917,13801,17,8
1784445435786354517,1,121012,37,2865,13801,17,9
1784445435836358809,0,125024,35,2917,13801,17,8
1784445435836358809,1,121012,37,2865,13801,17,9
1784445435886363149,0,125024,35,2917,13801,17,8
